Reservoir,Site,DateTime,Depth_m,TLi_mgL,SLi_mgL,TNa_mgL,SNa_mgL,TMg_mgL,SMg_mgL,TAl_mgL,SAl_mgL,TSi_mgL,SSi_mgL,TK_mgL,SK_mgL,TCa_mgL,SCa_mgL,TFe_mgL,SFe_mgL,TMn_mgL,SMn_mgL,TCu_mgL,SCu_mgL,TSr_mgL,SSr_mgL,TBa_mgL,SBa_mgL,Flag_DateTime,Flag_TLi_mgL,Flag_SLi_mgL,Flag_TNa_mgL,Flag_SNa_mgL,Flag_TMg_mgL,Flag_SMg_mgL,Flag_TAl_mgL,Flag_SAl_mgL,Flag_TSi_mgL,Flag_SSi_mgL,Flag_TK_mgL,Flag_SK_mgL,Flag_TCa_mgL,Flag_SCa_mgL,Flag_TFe_mgL,Flag_SFe_mgL,Flag_TMn_mgL,Flag_SMn_mgL,Flag_TCu_mgL,Flag_SCu_mgL,Flag_TSr_mgL,Flag_SSr_mgL,Flag_TBa_mgL,Flag_SBa_mgL
FCR,50,2024-03-05 11:30:00,8,5e-4,5e-4,3.1068,3.3513,1.0599,1.0562,0.0219,0.0052,6.3163,6.4415,1.1494,1.1298,2.585,2.6054,0.4445,0.1014,0.0838,0.0037,0.003,0.0016,0.0158,0.0161,0.0193,0.0157,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-03-05 11:40:00,9,5e-4,5e-4,3.0927,3.4552,1.0626,1.07,0.0213,0.0032,6.3415,6.4824,1.1473,1.1421,2.5804,2.6251,0.4669,0.1084,0.0875,0.0025,0.003,0.0016,0.0159,0.0161,0.0196,0.0143,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,100,2024-03-18 10:00:00,0.1,5e-4,5e-4,3.295,3.6086,0.8404,0.851,0.0237,0.0078,10.4469,10.402,0.9215,0.8931,2.1064,2.185,0.0699,0.01,0.0079,0.0044,0.001,0.001,0.0134,0.0134,0.0147,0.0136,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0
BVR,50,2024-03-18 10:15:00,0.1,5e-4,5e-4,2.1804,5.8373,0.7634,0.7454,0.0808,0.0235,5.3951,5.3211,1.3826,0.8887,1.6613,1.7572,0.4528,0.2582,0.0368,0.0011,0.001,0.001,0.011,0.0101,0.023,0.01,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
BVR,50,2024-03-18 10:23:00,3,5e-4,5e-4,2.1784,2.6083,0.7503,0.7646,0.0767,0.0239,5.3469,5.3059,1.3493,1.6101,1.5783,1.6427,0.4543,0.2611,0.0364,0.0069,0.0019,0.0024,0.0109,0.0111,0.0213,0.0183,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVR,50,2024-03-18 10:29:00,6,5e-4,5e-4,2.1633,2.7148,0.7517,0.7763,0.0721,0.021,5.3916,5.334,1.3457,1.3605,1.5895,1.7211,0.4359,0.2505,0.0377,0.0018,0.001,0.001,0.0112,0.011,0.0219,0.0169,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
BVR,50,2024-03-18 10:44:00,9,5e-4,5e-4,2.1596,2.5122,0.7581,0.7753,0.0696,0.0206,5.4216,5.3492,1.3602,1.4051,1.6074,1.6939,0.5053,0.2831,0.0813,0.0247,0.001,0.001,0.0114,0.0112,0.0235,0.0177,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,50,2024-03-18 10:50:00,0.1,5e-4,5e-4,3.026,3.2793,1.0115,1.0097,0.0144,0.0091,5.85,5.6946,1.0687,1.0547,2.2264,2.2656,0.2399,0.0426,0.0375,0.001,0.0018,0.0011,0.0144,0.0142,0.016,0.0137,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-03-18 10:57:00,1.6,5e-4,5e-4,2.9733,3.2721,1.0136,1.0237,0.0142,0.003,5.8275,5.775,1.0646,1.0867,2.2007,2.2723,0.239,0.0436,0.0373,0.0011,0.0018,0.0012,0.0143,0.0145,0.0159,0.0128,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-03-18 11:06:00,3.8,5e-4,5e-4,3.0092,3.2559,1.0097,1.0176,0.0141,0.0027,5.833,5.7127,1.0826,1.0736,2.2298,2.2602,0.2473,0.0412,0.039,8e-4,0.0019,0.0011,0.0143,0.0143,0.0159,0.0133,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
